51300035805,gdf,89,208
51300118065,bbg,268,58
51300164134,dgd,37,24
51300223349,dad,194,159
51300244102,bbd,7,214
51300293048,fcf,200,257
51300306668,ede,214,233
51300372422,gda,135,216
51300398335,cgc,13,264
51300415184,fac,163,108
51300430064,cgc,146,229
51300441152,fdc,75,294
51300451182,fgb,288,88
51300451861,fef,269,57
51300486686,agb,170,126
51300521085,adf,28,39
51300525893,cgc,85,192
51300579920,caa,182,18
51300611178,cff,161,86
51300613074,cef,167,270
51300658310,bba,214,28
51300666207,acd,159,202
51300720871,bdc,145,32
51300723470,egg,2,130
51300737962,gde,11,157
51300756050,aab,154,243
51300768918,gdb,25,46
51300781330,age,4,110
51300784960,ggf,116,282
51300787722,dgg,240,71
51300804759,fae,191,249
51300830270,gbf,229,176
51300873564,cgd,265,140
51300936594,gdf,268,222
51300965946,caa,173,18
51300982291,egf,275,89
51301049404,gef,298,124
51301069267,eff,190,70
51301087274,bfa,224,108
51301132988,bgb,97,274
51301136166,bdb,57,99
51301136436,dgf,75,31
51301177492,dfe,132,72
51301195319,gfg,2,32
51301274634,gae,211,207
51301362836,cge,277,137
51301399478,fcd,100,205
51301411918,ffa,244,91
51301417742,fcd,182,237
51301427804,eeg,104,78
51301435964,gag,279,236
51301566413,cda,118,165
51301582254,cee,69,230
51301591649,bbf,244,125
51301594146,gff,148,214
51301607156,dba,141,122
51301668310,bca,25,198
51301687433,gbb,197,132
51301689414,cbg,62,177
51301706101,bea,68,34
51301745791,bbb,107,154
51301767664,beg,25,230
51301791633,aee,21,84
51301819341,gfg,75,27
51301832969,cea,99,195
51301842964,gda,146,198
51301916293,gcf,26,91
51301973245,dfa,146,298
51301973263,bcg,113,191
51302018015,cda,5,165
51302032070,fdg,194,86
51302051931,agd,218,137
51302052773,cag,227,203
51302053750,ead,165,38
51302072058,fcc,117,111
51302086356,gba,167,12
51302098210,cda,191,165
51302121990,dee,235,160
51302137408,fee,236,34
51302151252,bdc,233,32
51302152598,fcd,214,277
51302159213,ccf,39,47
51302168593,ded,105,18
51302194682,dbf,298,175
51302253227,aaf,135,50
51302358139,agg,174,19
51302392923,dcb,195,119
51302433232,dfa,282,274
51302457246,ccc,252,199
51302461535,agg,105,19
51302528567,baf,117,267
51302547382,bce,116,131
51302591035,acb,244,104
51302597000,fbe,178,254
51302605773,fed,223,15
51302644018,fge,86,124
51302658920,dcg,200,110
51302770541,cgc,166,168
51302815786,egf,153,104
51302847174,afd,270,53
51302866108,afa,217,224
51302915799,bgc,31,65
51302941931,edc,222,74
